,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Idaho
5,Iowa
6,Kentucky
7,Louisiana
8,Maine
9,Massachusetts
10,Minnesota
11,New Hampshire
12,New Mexico
13,Oregon
14,Tennessee
15,Vermont
16,West Virginia
17,Wyoming
